Protocol,Category,Change 1d,Change 7d,Change 1m,Total 1d,Total 7d,Total 1m,Revenue 24h,Revenue 7d,Revenue 30d
Curve Finance,Dexes,-25.887878060352538,,,86523533,997464870,4895018229,,,
Balancer,Dexes,65.71760095867384,,,85111370,366235124,1478485839,,,
Sushi,Dexes,-14.8862693704859,,,15784532,132996629,578595741,,,
KyberSwap,Dexes,,,,,,4839,,,
Shell Protocol,Dexes,35.36,-1.44,,1845,26819,173789,,,
Serum,Dexes,,,,0,,,,,
DODO,Dexes,11.941787403341067,,,96229337,628839300,3848267543,,,
Bancor,Dexes,64.70619097586568,,,94179,710631,4490830,,,
WanSwap Dex,Dexes,13.83,35.11,-44.82,23073,323939,1546310,,,
PancakeSwap,Dexes,-9.841775059939897,,,624682574,5449079116,21023508342,,,
Saddle Finance,Dexes,,,,0,0,0,,,
Raydium,Dexes,16.89,80.54,220.78,793830332,4508318478,13926570182,,,
Defi Swap,Dexes,-41.48,41.27,-10.5,51139,560460,2023661,,,
Ellipsis Finance,Dexes,-51.41,-66.68,-96.48,3042,399746,889226,,,
Energiswap,Dexes,-25.61,-87.03,-19.24,5809,78572,532811,,,
Pangolin,Dexes,87.53,86.21,32.8,295499,1713034,8185971,,,
Cometh,Dexes,251.74,962.4,208.56,8871,30582,229723,,,
Honeyswap,Dexes,,,,0,,,,,
Orca,Dexes,17.96,11.45,-8.07,282174155,2313303115,10185007956,,,
Integral,Dexes,-43.15,-44.95,-53.13,1968386,23379053,129757966,,,
Swapr,Dexes,,,,,87501,259600,,,
Levinswap,Dexes,-16.29,30.7,204.08,149,1462,7632,,,
SpookySwap,Dexes,-17.17,1.39,282.24,9499056,66149413,214626384,,,
ZilSwap,Dexes,,,-88.74,281,281,38449,,,
Flamingo Finance,Dexes,,,-100,0,0,2473842,,,
Quickswap,Services,-25.14666439384729,,,21499402,217540966,1078411530,,,
SpiritSwap,Dexes,-35.15401250803671,,,22189,247263,1279936,,,
ViperSwap,Dexes,,,,0,,,,,
HyperJump,Dexes,5623.41,8182.66,2962.42,30563,582672,780919,,,
Dfyn Network,Dexes,28.5,-34.25,84.25,23352,199278,830412,,,
Unicly,Dexes,,,,0,,,,,
MDEX,Dexes,-64.48,-68.41,-88.56,78957,2429988,11703808,,,
GMX,Dexes,-35.27665186405078,,,4409592,39873788,189575786,,,
Gravity Finance,Dexes,-77.67,0.3,-86.16,336,8759,39552,,,
DFX Finance,Dexes,,,,,96,600,,,
PinkSwap,Dexes,-76.36,-67.5,-89.6,13,497,3354,,,
BiSwap,Dexes,,,,,,,,,
MakiSwap,Dexes,,,,0,,,,,
Pendle,Yield,-29.38,0.43,141.46,39165369,293382597,1219809795,,,
Osmosis DEX,Dexes,-6.11,54.85,4.47,12468217,88804908,450408401,,,
Meteora,Dexes,0.7581929001999658,,,22218971,153808331,522413665,,,
WardenSwap,Dexes,-99.27,-61.04,-86.69,150,63503,290953,,,
ShibaSwap,Dexes,,,,0,,,,,
ApeBond,Dexes,98.161083635004,,,466384,4862227,24085414,,,
BXH,Dexes,-33.82,-1.97,-59.31,546,9104,46130,,,
Tokenlon,Dexes,20.354244593976258,,,11589110,64221603,357420754,,,
Thorchain,Dexes,-1.88,71.1,-15.68,63341584,454152047,2273296444,,,
Saber,Dexes,0,0,0,3628766,25401362,108862980,,,
Elk,Dexes,12.63,-41.5,6.01,13498,141176,1231706,,,
Paint Swap,Dexes,,,,0,,,,,
Balanced,Dexes,-14.434356600296644,,,152300,1576754,8946456,,,
Karura Swap,Dexes,-21.04,77.22,-88.87,9077,76269,481968,,,
LFJ,Dexes,-3.6510239640960425,,,39831160,463524613,2209310335,,,
Complus Network,Dexes,-3.43,126.44,-35.83,197,1440,8342,,,
Canary,Dexes,150,,0,5,26,264,,,
KuSwap,Dexes,,,,0,,,,,
Ubeswap,Dexes,-2.84,-22.21,570.6,108724,758280,2804319,,,
Plenty,Dexes,363.55,53.57,190.35,9030,21642,148173,,,
Terraswap,Dexes,,,,0,,,,,
Polycat Finance,Farm,-2.9922779922779923,,,8040,59590,205193,,,
DefiBox,Dexes,18.61,-3.84,103.98,98076,817744,4019939,,,
KlaySwap,Dexes,-67.29481325171196,,,95472,1246312,6589283,,,
QuipuSwap,Dexes,,,,,,,,,
Symmetric,Dexes,124.48,-70.96,123.65,364972,1724682,8227508,,,
Ref Finance,Dexes,84.18,175.51,83.56,9700628,45773871,218681304,,,
CherrySwap,Dexes,,,,0,0,0,,,
SoulSwap,Dexes,-24.98,-59.96,-8.16,9330,157607,717418,,,
Solarbeam,Dexes,6.08,-27.03,-51.17,4119,83078,422236,,,
Defi Kingdoms,Dexes,,,,0,,,,,
Alita Finance,Dexes,-12.1,25.23,28.68,3450,45135,681425,,,
Allbridge,Bridge,44.36246082471683,,,175500,561884,2674072,,,
Morpheus Swap,Dexes,-7.37,-46.44,27.81,5239,87095,461369,,,
Mobius Money,Dexes,,,,0,,0,,,
BabySwap,Dexes,-29.32,508.27,74.72,411404,1659350,5843247,,,
Swop,Dexes,-77.84,-7.78,-63.37,9868,170112,583326,,,
Kava Swap,Dexes,-65.49,-76.54,-58.49,6864,124510,861012,,,
Clipper,Dexes,-19.56,-6.12,-10.48,1051590,9561398,40276744,,,
Huckleberry,Dexes,-24.581005586592177,,,135,2555,15005,,,
PadSwap,Dexes,68.13,371.33,0.57,1414,9619,34789,,,
UniFi,Dexes,,,,0,,,,,
Beethoven X,Dexes,8.84222384803144,,,4202752,22165513,81843867,,,
JetSwap,Dexes,-19.5,-38.9,-49.03,289,10841,57417,,,
CarbonSwap,Dexes,-87.73,-93.64,-96.9,87,8824,33912,,,
JSwap,Dexes,,,,0,,,,,
Tinyman,Dexes,-37.34,68.87,64.04,569953,4656637,16777543,,,
SUN,Dexes,-2.853410552443738,,,44485817,337624032,1621778781,,,
Dinosaur Eggs,Dexes,170.55,64.62,365.81,52264,208357,1736497,,,
Chainge Finance,Dexes,,,,0,,,,,
TTswap,Dexes,-25.97,-81,-33.2,342,8788,28210,,,
LuaSwap,Dexes,19.73,-82.02,-72.25,267,1650,12857,,,
Kaidex,Dexes,318.18,666.67,666.67,46,212,1931,,,
Polkaswap,Dexes,-25.53,131.33,267.55,182950,762597,2369523,,,
Voltage,Dexes,-12.341806320359606,,,154253,1284027,5587225,,,
DefiPlaza,Dexes,-61.07,-53.68,-80.36,3723,69211,286219,,,
Synthetify,Synthetics,,,,0,0,0,,,
Aldrin,Dexes,,,,0,,,,,
MuesliSwap,Dexes,,,-100,0,,165544,,,
MistSwap,Dexes,,,,0,,,,,
BenSwap,Dexes,-55.08,-96.18,-10.43,4397,90105,756036,,,
Trisolaris,Dexes,-12.48,3.79,-62.12,58069,668980,3941400,,,
OolongSwap,Dexes,15.55,61.46,-27.13,2296,24540,203637,,,
Katana DEX,Dexes,104.88,55.69,10.52,2938599,16417154,91552678,,,
Rubicon,Dexes,,,,0,,,,,
ZigZag,Dexes,,,,0,,,,,
Glide Finance,Dexes,-96.76,-94.9,-99.76,263,37885,271964,,,
EmpireDEX,Dexes,-66.67,-75,-85.71,2,51,289,,,
Crodex,Dexes,,,,0,,,,,
VVS Finance,Dexes,-52.51582942422686,,,1111254,13521674,59480362,,,
Axial,Dexes,,,,0,,,,,
PhotonSwap Finance,Dexes,,,,0,0,0,,,
xExchange,Dexes,52.09,91.88,36.95,1082880,6542538,30111356,,,
Yoshi Exchange,Dexes,-31.34,-46.31,302.43,6620,67782,885714,,,
LumenSwap,Dexes,-11.83,13.42,-64.28,333271,3812761,19256752,,,
SmartDEX,Dexes,-68.89,-60,-76.27,14,505,3391,,,
LeonicornSwap,Dexes,0,0,-50,2,15,68,,,
KnightSwap,Dexes,-75.64508616674429,,,5229,205104,1402547,,,
Platypus Finance,Dexes,,,,0,,1,,,
Pando,Dexes,,,,,,,,,
Nearpad,Dexes,64.96,225.96,-33.92,1356,10959,60575,,,
Vexchange,Dexes,40.77,99.12,2.22,5904,22761,187238,,,
Drift,Dexes,35.36991210068726,,,2941354,30512193,122953316,,,
WingSwap,Dexes,-30.32,28.33,2980,154,1432,11284,,,
WannaSwap,Dexes,207.1,162.77,25.42,2294,12433,75064,,,
YokaiSwap,Dexes,-24.63,5.7,-32.84,47660,371541,4967056,,,
WagyuSwap,Dexes,,,,0,,,,,
Soy Finance,Dexes,,,,0,,,,,
SpicySwap,Dexes,67.31,530.43,211.83,870,3968,17605,,,
Astroport Classic,Dexes,,,,0,,,,,
MooniSwap,Dexes,,,,0,,,,,
AutoShark,Dexes,-61.15,-33.43,-74.13,237,5014,30244,,,
ErgoDEX,Dexes,,,,0,,,,,
Tethys Finance,Dexes,-45.059688765721596,,,10309,139746,724625,,,
NetSwap,Dexes,,,,0,,,,,
DefiChain DEX,Dexes,-78.39,116.27,17.84,833374,16932487,39304287,,,
AuroraSwap,Dexes,-12.55,-32.88,-32.42,2543,35431,203381,,,
ExinSwap,Dexes,,,,0,,,,,
MojitoSwap,Dexes,233.4,310.61,86.23,11809,41625,387917,,,
OpenLeverage,Dexes,,,,0,0,0,,,
Volt Finance,Dexes,-14.1066417212348,,,4591,25908,116284,,,
Mimo,Dexes,-6.11,40.02,85.85,144725,943737,5417626,,,
Spartan,Dexes,,,,0,0,0,,,
HakuSwap,Dexes,-11.97,557.89,15.74,250,1242,5866,,,
Saros,Dexes,,,,0,,,,,
Solarflare,Dexes,-40.28,2824.9,679.77,7400,25654,66116,,,
StellaSwap,Dexes,8.373569233885943,,,32097,200268,1028772,,,
BeamSwap,Dexes,112.363159896868,,,50243,406535,1920502,,,
ZipSwap,Dexes,-49.84,-1.26,-31.96,313,3955,19290,,,
SundaeSwap,Dexes,-12.187229937496232,,,218465,1998722,8313640,,,
ProtoFi,Dexes,62.79,87.47,495.1,18710,132281,558826,,,
YieldFields,Dexes,-64.29,-28.57,-64.29,5,71,49674,,,
WigoSwap,Dexes,-21.74,-3.01,-22.82,1922185,20783618,103618103,,,
AstroSwap,Dexes,,,,0,,,,,
Maia DAO Ecosystem,Dexes,-62.90625839376847,,,1381,16438,74821,,,
Solidly,Dexes,25.31,179.91,347.18,5545,16417,94227,,,
Crema Finance,Dexes,46.25,35.38,336.26,25242,125459,438768,,,
PegaSys,Dexes,-81.15903145750889,,,2809,74629,458728,,,
Hashflow,DEX Aggregator,-43.69,9.85,-31.38,7856751,89241877,487801674,,,
PayCash,Dexes,-86.01,-67.34,-93.41,6874,157599,940415,,,
ClaimSwap,Dexes,0,,,25979,107978,479148,,,
WOOFi,Dexes,-21.774536376888378,,,20662869,185646541,742488464,,,
ALEX,Dexes,,,,0,,,,,
Pact,Dexes,89.51,22.28,12.83,278816,1928181,9828434,,,
Minswap,Dexes,-26.51,19.7,-32.8,1209016,9464093,49987225,,,
Darkness,Dexes,,,,0,,,,,
Penguin,Dexes,,,,0,,,,,
WingRiders,Dexes,-22.46,89.48,-25.47,86451,625636,2714652,,,
RadioShack,Dexes,3.04,27.81,-50.46,1388,55944,197552,,,
Humble Defi,Dexes,-44.26,101.96,41.11,2468,19553,78200,,,
SMBSwap,Dexes,20,,,6,39,377,,,
ChampagneSwap,Dexes,-50,-50,-66.67,2,39,192,,,
Swappi,Dexes,,,,0,,,,,
FairySwap,Dexes,,,,,,,,,
Hydradex,Dexes,-64.88385032688831,,,5049,51509,235124,,,
Pandora Swap,Dexes,,,,0,,,,,
Wombat Exchange,Dexes,0,77.48,88.36,379401,1186354,7183472,,,
Hummus Exchange,Dexes,-74.83777937995674,,,2094,69429,547988,,,
Meshswap,Dexes,-32.45,-32.49,-74.82,12548,191826,1433450,,,
Verse,Dexes,,,-100,0,,107561,,,
CryptoSwap,Dexes,-50,0,-66.67,1,40,145,,,
Spartacus Exchange,Dexes,,,,0,2,22,,,
Dystopia,Dexes,-54.52,-72.89,-91.77,151,4978,38735,,,
Koyo Finance,Dexes,,,,0,0,0,,,
Oswap,Dexes,1.35236664162284,,,2698,22755,129447,,,
Kokonut Swap,Dexes,966.57,319.98,181.72,7274,17523,109724,,,
Gin Finance,Dexes,,,,0,77,1003,,,
Velodrome,Dexes,-37.93641479353385,,,28474331,307051335,1324445221,,,
Metavault,Dexes,,,,,,,,,
SharkSwap,Dexes,,-100,,0,2,4384,,,
Acala Swap,Dexes,140.62,2331.52,544.87,175726,719646,1874432,,,
AuraSwap,Dexes,0,,0,1,7,45,,,
Surfswap,Dexes,,,,,,,,,
Ferro,Dexes,,,,0,0,0,,,
iZUMi Finance,Dexes,-35.187024014979635,,,2444435,22850774,118925109,,,
WhaleSwap,Dexes,-76.19,-37.5,-61.54,5,313,1390,,,
Increment Finance,Dexes,-56.422596250755895,,,69180,809059,4801539,,,
Moon Swap,Dexes,,,,0,,,,,
Cone,Dexes,-76.31,-90.23,-70.29,104,4236,21660,,,
SaucerSwap,Dexes,75.84,133.46,84.42,2139190,9600658,46880444,,,
Yodeswap,Dexes,,,,0,,,,,
Canto Dex,Dexes,16.99,44.55,-66.23,169828,2015065,678559293,,,
Pangea Swap,Dexes,31.6,-73.66,-89.78,9669,305153,1528285,,,
IcecreamSwap,Dexes,,,,,,,,,
Sphynx,Dexes,-45.45,-36.84,-73.33,12,221,1171,,,
Demex,Dexes,-93.95242914979757,,,478,38062,160425,,,
MM Finance,Dexes,-54.43959243085881,,,313,7133,44271,,,
UltronSwap,Dexes,,,,0,,,,,
Lif3.com,Dexes,,,,,97679,175081,,,
KLEX Finance,Dexes,,,,0,,,,,
Junoswap,Dexes,,,,0,,,,,
VanSwap,Dexes,81.87,67.95,-16.75,21337,97775,498147,,,
Aequinox,Dexes,,,,0,,,,,
Algofi,Dexes,,,,,,,,,
OKCSwap,Dexes,-100,,,0,3,17,,,
Titano Swych,Dexes,-77.75,-59.43,-83.31,396,14597,81019,,,
Swaap,Dexes,-15.980601322264224,,,7865618,49858333,139402575,,,
PYEswap,Dexes,,,,0,0,0,,,
Wojak Finance,Dexes,,,,0,,,,,
0x,DEX Aggregator,-58.28,-51,-76.17,1911945,32929419,290438499,,,
WinerySwap,Dexes,,,,0,,,,,
Frax Finance,Dexes,9.757066055324785,,,707606,6044311,30929316,,,
Capricorn Finance,Dexes,,,,0,0,0,,,
Tomb Finance,Dexes,,,,,,,,,
MarginX,Dexes,31.30900170965584,,,17665,242740,2100025,,,
Zircon Gamma,Dexes,,,,0,,,,,
XSwap Protocol,Dexes,,,,,,,,,
Lifinity,Dexes,-24.919713305230122,,,64427551,638311275,2508770867,,,
Planet,Dexes,-8.355555555555554,,,1031,9926,151074,,,
DAO Maker,Dexes,-50,,,1,19,118,,,
BabyDogeSwap,Dexes,28.68,150.77,90.31,110551,2027315,13072134,,,
Temple DAO,Dexes,,,,,,,,,
Gravis Finance,Dexes,-50.58,-36.09,-69.2,85,1778,9238,,,
Uniswap,Dexes,-12.539923246844104,,,1185194956,9855883440,39386452929,,,
Tetu,Yield,,,,,,,,,
LiquidSwap,Dexes,68.23,273.02,350.34,11536876,42824812,136423666,,,
AUX Exchange,Dexes,152.69,29.98,937.06,6772,27964,88329,,,
Wavelength DAO,Dexes,,,,0,,,,,
HeliSwap,Dexes,-6.17,46.28,104.3,4517,28371,124861,,,
MetaTdex,Dexes,,,,0,,,,,
OPX Finance,Derivatives,,,,0,0,0,,,
Helix.,Dexes,10.414653210847398,,,5209646,53061054,241673036,,,
Orderly Network,Dexes,,,,,,740851,,,
3xcalibur,Dexes,0,,50,3,20,117,,,
Cetus,Dexes,0.9309437627112138,,,158034447,956762844,2389212481,,,
Camelot,Dexes,-29.969310129460464,,,53983644,556977644,2528586896,,,
Step Exchange,Dexes,-57.18,22.33,-64.69,7088,117403,467978,,,
Archly Finance,Dexes,-4.395604395604396,,,87,559,3211,,,
OpenBook,Dexes,-14.47,-25.34,10.77,424803,3481172,22787030,,,
